第 0 点 - 坐标: [279.7423, 0.0000], 绝对半径: 279.7423, 绝对角度: 0.0000, 绝对半径差值: 0.0000, 增量半径差值: 0.0000, 增量角度差值: 0.0000
第 22 点 - 坐标: [279.5757, -9.9054], 绝对半径: 279.7511, 绝对角度: 2.0291, 绝对半径差值: 0.0088, 增量半径差值: 0.0003, 增量角度差值: 0.1001
第 23 点 - 坐标: [279.5582, -10.3937], 绝对半径: 279.7513, 绝对角度: 2.1292, 绝对半径差值: 0.0091, 增量半径差值: 0.0003, 增量角度差值: 0.1001
第 24 点 - 坐标: [279.5398, -10.8821], 绝对半径: 279.7515, 绝对角度: 2.2293, 绝对半径差值: 0.0093, 增量半径差值: 0.0002, 增量角度差值: 0.1001
第 25 点 - 坐标: [279.5205, -11.3704], 绝对半径: 279.7517, 绝对角度: 2.3294, 绝对半径差值: 0.0094, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 26 点 - 坐标: [279.5003, -11.8587], 绝对半径: 279.7517, 绝对角度: 2.4295, 绝对半径差值: 0.0095, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 27 点 - 坐标: [279.4792, -12.3470], 绝对半径: 279.7518, 绝对角度: 2.5296, 绝对半径差值: 0.0095, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 28 点 - 坐标: [279.4571, -12.8352], 绝对半径: 279.7517, 绝对角度: 2.6297, 绝对半径差值: 0.0095, 增量半径差值: -0.0000, 增量角度差值: 0.1001
第 29 点 - 坐标: [279.4342, -13.3234], 绝对半径: 279.7517, 绝对角度: 2.7298, 绝对半径差值: 0.0094, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 30 点 - 坐标: [279.4104, -13.8115], 绝对半径: 279.7516, 绝对角度: 2.8299, 绝对半径差值: 0.0093, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 31 点 - 坐标: [279.3858, -14.2996], 绝对半径: 279.7515, 绝对角度: 2.9300, 绝对半径差值: 0.0092, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 32 点 - 坐标: [279.3602, -14.7876], 绝对半径: 279.7513, 绝对角度: 3.0301, 绝对半径差值: 0.0091, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 33 点 - 坐标: [279.3338, -15.2756], 绝对半径: 279.7512, 绝对角度: 3.1301, 绝对半径差值: 0.0089, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 34 点 - 坐标: [279.3066, -15.7635], 绝对半径: 279.7511, 绝对角度: 3.2302, 绝对半径差值: 0.0088, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 35 点 - 坐标: [279.2785, -16.2514], 绝对半径: 279.7509, 绝对角度: 3.3303, 绝对半径差值: 0.0086, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 36 点 - 坐标: [279.2495, -16.7393], 绝对半径: 279.7508, 绝对角度: 3.4304, 绝对半径差值: 0.0085, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 37 点 - 坐标: [279.2197, -17.2271], 绝对半径: 279.7507, 绝对角度: 3.5305, 绝对半径差值: 0.0084, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 38 点 - 坐标: [279.1891, -17.7148], 绝对半径: 279.7506, 绝对角度: 3.6306, 绝对半径差值: 0.0083, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 39 点 - 坐标: [279.1577, -18.2025], 绝对半径: 279.7505, 绝对角度: 3.7307, 绝对半径差值: 0.0082, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 40 点 - 坐标: [279.1254, -18.6902], 绝对半径: 279.7504, 绝对角度: 3.8308, 绝对半径差值: 0.0081, 增量半径差值: -0.0001, 增量角度差值: 0.1001
第 41 点 - 坐标: [279.0923, -19.1777], 绝对半径: 279.7504, 绝对角度: 3.9309, 绝对半径差值: 0.0081, 增量半径差值: -0.0000, 增量角度差值: 0.1001
第 42 点 - 坐标: [279.0583, -19.6653], 绝对半径: 279.7504, 绝对角度: 4.0310, 绝对半径差值: 0.0081, 增量半径差值: -0.0000, 增量角度差值: 0.1001
第 43 点 - 坐标: [279.0236, -20.1527], 绝对半径: 279.7504, 绝对角度: 4.1311, 绝对半径差值: 0.0081, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 44 点 - 坐标: [278.9879, -20.6401], 绝对半径: 279.7504, 绝对角度: 4.2312, 绝对半径差值: 0.0081, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 45 点 - 坐标: [278.9515, -21.1275], 绝对半径: 279.7504, 绝对角度: 4.3313, 绝对半径差值: 0.0082, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 46 点 - 坐标: [278.9142, -21.6148], 绝对半径: 279.7505, 绝对角度: 4.4313, 绝对半径差值: 0.0082, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 47 点 - 坐标: [278.8761, -22.1020], 绝对半径: 279.7505, 绝对角度: 4.5314, 绝对半径差值: 0.0083, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 48 点 - 坐标: [278.8371, -22.5891], 绝对半径: 279.7506, 绝对角度: 4.6315, 绝对半径差值: 0.0083, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 49 点 - 坐标: [278.7973, -23.0762], 绝对半径: 279.7507, 绝对角度: 4.7316, 绝对半径差值: 0.0084, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 50 点 - 坐标: [278.7567, -23.5632], 绝对半径: 279.7508, 绝对角度: 4.8317, 绝对半径差值: 0.0085, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 51 点 - 坐标: [278.7151, -24.0502], 绝对半径: 279.7509, 绝对角度: 4.9318, 绝对半径差值: 0.0086, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 52 点 - 坐标: [278.6728, -24.5370], 绝对半径: 279.7509, 绝对角度: 5.0319, 绝对半径差值: 0.0087, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 53 点 - 坐标: [278.6296, -25.0238], 绝对半径: 279.7510, 绝对角度: 5.1320, 绝对半径差值: 0.0088, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 54 点 - 坐标: [278.5855, -25.5105], 绝对半径: 279.7511, 绝对角度: 5.2321, 绝对半径差值: 0.0088, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 55 点 - 坐标: [278.5406, -25.9972], 绝对半径: 279.7512, 绝对角度: 5.3322, 绝对半径差值: 0.0089, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 56 点 - 坐标: [278.4949, -26.4837], 绝对半径: 279.7513, 绝对角度: 5.4323, 绝对半径差值: 0.0090, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 57 点 - 坐标: [278.4483, -26.9702], 绝对半径: 279.7514, 绝对角度: 5.5324, 绝对半径差值: 0.0091, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 58 点 - 坐标: [278.4008, -27.4566], 绝对半径: 279.7514, 绝对角度: 5.6324, 绝对半径差值: 0.0092, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 59 点 - 坐标: [278.3525, -27.9429], 绝对半径: 279.7515, 绝对角度: 5.7325, 绝对半径差值: 0.0092, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 60 点 - 坐标: [278.3033, -28.4292], 绝对半径: 279.7516, 绝对角度: 5.8326, 绝对半径差值: 0.0093, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 61 点 - 坐标: [278.2533, -28.9153], 绝对半径: 279.7516, 绝对角度: 5.9327, 绝对半径差值: 0.0093, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 62 点 - 坐标: [278.2024, -29.4013], 绝对半径: 279.7517, 绝对角度: 6.0328, 绝对半径差值: 0.0094, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 63 点 - 坐标: [278.1506, -29.8873], 绝对半径: 279.7517, 绝对角度: 6.1329, 绝对半径差值: 0.0094, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 64 点 - 坐标: [278.0980, -30.3732], 绝对半径: 279.7518, 绝对角度: 6.2330, 绝对半径差值: 0.0095, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 65 点 - 坐标: [278.0446, -30.8589], 绝对半径: 279.7518, 绝对角度: 6.3331, 绝对半径差值: 0.0095, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 66 点 - 坐标: [277.9903, -31.3446], 绝对半径: 279.7519, 绝对角度: 6.4332, 绝对半径差值: 0.0096, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 67 点 - 坐标: [277.9352, -31.8302], 绝对半径: 279.7519, 绝对角度: 6.5333, 绝对半径差值: 0.0096, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 68 点 - 坐标: [277.8792, -32.3157], 绝对半径: 279.7520, 绝对角度: 6.6334, 绝对半径差值: 0.0097, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 69 点 - 坐标: [277.8224, -32.8011], 绝对半径: 279.7520, 绝对角度: 6.7335, 绝对半径差值: 0.0097, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 70 点 - 坐标: [277.7647, -33.2864], 绝对半径: 279.7520, 绝对角度: 6.8335, 绝对半径差值: 0.0098, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 71 点 - 坐标: [277.7062, -33.7716], 绝对半径: 279.7521, 绝对角度: 6.9336, 绝对半径差值: 0.0098, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 72 点 - 坐标: [277.6468, -34.2567], 绝对半径: 279.7521, 绝对角度: 7.0337, 绝对半径差值: 0.0099, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 73 点 - 坐标: [277.5866, -34.7416], 绝对半径: 279.7522, 绝对角度: 7.1338, 绝对半径差值: 0.0099, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 74 点 - 坐标: [277.5255, -35.2265], 绝对半径: 279.7522, 绝对角度: 7.2339, 绝对半径差值: 0.0100, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 75 点 - 坐标: [277.4636, -35.7113], 绝对半径: 279.7523, 绝对角度: 7.3340, 绝对半径差值: 0.0100, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 76 点 - 坐标: [277.4008, -36.1959], 绝对半径: 279.7523, 绝对角度: 7.4341, 绝对半径差值: 0.0101, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 77 点 - 坐标: [277.3372, -36.6805], 绝对半径: 279.7524, 绝对角度: 7.5342, 绝对半径差值: 0.0101, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 78 点 - 坐标: [277.2728, -37.1649], 绝对半径: 279.7525, 绝对角度: 7.6343, 绝对半径差值: 0.0102, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 79 点 - 坐标: [277.2075, -37.6493], 绝对半径: 279.7525, 绝对角度: 7.7344, 绝对半径差值: 0.0102, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 80 点 - 坐标: [277.1414, -38.1335], 绝对半径: 279.7526, 绝对角度: 7.8345, 绝对半径差值: 0.0103, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 81 点 - 坐标: [277.0744, -38.6176], 绝对半径: 279.7527, 绝对角度: 7.9346, 绝对半径差值: 0.0104, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 82 点 - 坐标: [277.0066, -39.1015], 绝对半径: 279.7527, 绝对角度: 8.0346, 绝对半径差值: 0.0104, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 83 点 - 坐标: [276.9379, -39.5854], 绝对半径: 279.7528, 绝对角度: 8.1347, 绝对半径差值: 0.0105, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 84 点 - 坐标: [276.8684, -40.0691], 绝对半径: 279.7529, 绝对角度: 8.2348, 绝对半径差值: 0.0106, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 85 点 - 坐标: [276.7981, -40.5528], 绝对半径: 279.7529, 绝对角度: 8.3349, 绝对半径差值: 0.0107, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 86 点 - 坐标: [276.7269, -41.0363], 绝对半径: 279.7530, 绝对角度: 8.4350, 绝对半径差值: 0.0107, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 87 点 - 坐标: [276.6549, -41.5196], 绝对半径: 279.7531, 绝对角度: 8.5351, 绝对半径差值: 0.0108, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 88 点 - 坐标: [276.5820, -42.0029], 绝对半径: 279.7532, 绝对角度: 8.6352, 绝对半径差值: 0.0109, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 89 点 - 坐标: [276.5082, -42.4860], 绝对半径: 279.7532, 绝对角度: 8.7353, 绝对半径差值: 0.0110, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 90 点 - 坐标: [276.4337, -42.9690], 绝对半径: 279.7533, 绝对角度: 8.8354, 绝对半径差值: 0.0110, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 91 点 - 坐标: [276.3583, -43.4518], 绝对半径: 279.7534, 绝对角度: 8.9355, 绝对半径差值: 0.0111, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 92 点 - 坐标: [276.2820, -43.9345], 绝对半径: 279.7535, 绝对角度: 9.0356, 绝对半径差值: 0.0112, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 93 点 - 坐标: [276.2049, -44.4171], 绝对半径: 279.7535, 绝对角度: 9.1356, 绝对半径差值: 0.0113, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 94 点 - 坐标: [276.1270, -44.8996], 绝对半径: 279.7536, 绝对角度: 9.2357, 绝对半径差值: 0.0113, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 95 点 - 坐标: [276.0482, -45.3819], 绝对半径: 279.7537, 绝对角度: 9.3358, 绝对半径差值: 0.0114, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 96 点 - 坐标: [275.9686, -45.8641], 绝对半径: 279.7538, 绝对角度: 9.4359, 绝对半径差值: 0.0115, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 97 点 - 坐标: [275.8881, -46.3461], 绝对半径: 279.7539, 绝对角度: 9.5360, 绝对半径差值: 0.0116, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 98 点 - 坐标: [275.8068, -46.8280], 绝对半径: 279.7539, 绝对角度: 9.6361, 绝对半径差值: 0.0117, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 99 点 - 坐标: [275.7247, -47.3098], 绝对半径: 279.7540, 绝对角度: 9.7362, 绝对半径差值: 0.0117, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 100 点 - 坐标: [275.6417, -47.7914], 绝对半径: 279.7541, 绝对角度: 9.8363, 绝对半径差值: 0.0118, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 101 点 - 坐标: [275.5579, -48.2728], 绝对半径: 279.7542, 绝对角度: 9.9364, 绝对半径差值: 0.0119, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 102 点 - 坐标: [275.4732, -48.7541], 绝对半径: 279.7543, 绝对角度: 10.0365, 绝对半径差值: 0.0120, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 103 点 - 坐标: [275.3877, -49.2353], 绝对半径: 279.7544, 绝对角度: 10.1366, 绝对半径差值: 0.0121, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 104 点 - 坐标: [275.3013, -49.7163], 绝对半径: 279.7544, 绝对角度: 10.2366, 绝对半径差值: 0.0122, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 105 点 - 坐标: [275.2142, -50.1972], 绝对半径: 279.7545, 绝对角度: 10.3367, 绝对半径差值: 0.0122, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 106 点 - 坐标: [275.1261, -50.6779], 绝对半径: 279.7546, 绝对角度: 10.4368, 绝对半径差值: 0.0123, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 107 点 - 坐标: [275.0373, -51.1585], 绝对半径: 279.7547, 绝对角度: 10.5369, 绝对半径差值: 0.0124, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 108 点 - 坐标: [274.9476, -51.6389], 绝对半径: 279.7548, 绝对角度: 10.6370, 绝对半径差值: 0.0125, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 109 点 - 坐标: [274.8570, -52.1191], 绝对半径: 279.7549, 绝对角度: 10.7371, 绝对半径差值: 0.0126, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 110 点 - 坐标: [274.7656, -52.5992], 绝对半径: 279.7550, 绝对角度: 10.8372, 绝对半径差值: 0.0127, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 111 点 - 坐标: [274.6734, -53.0791], 绝对半径: 279.7551, 绝对角度: 10.9373, 绝对半径差值: 0.0128, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 112 点 - 坐标: [274.5804, -53.5589], 绝对半径: 279.7551, 绝对角度: 11.0374, 绝对半径差值: 0.0129, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 113 点 - 坐标: [274.4865, -54.0385], 绝对半径: 279.7552, 绝对角度: 11.1375, 绝对半径差值: 0.0130, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 114 点 - 坐标: [274.3918, -54.5179], 绝对半径: 279.7553, 绝对角度: 11.2375, 绝对半径差值: 0.0130, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 115 点 - 坐标: [274.2962, -54.9972], 绝对半径: 279.7554, 绝对角度: 11.3376, 绝对半径差值: 0.0131, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 116 点 - 坐标: [274.1998, -55.4763], 绝对半径: 279.7555, 绝对角度: 11.4377, 绝对半径差值: 0.0132, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 117 点 - 坐标: [274.1026, -55.9552], 绝对半径: 279.7556, 绝对角度: 11.5378, 绝对半径差值: 0.0133, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 118 点 - 坐标: [274.0045, -56.4340], 绝对半径: 279.7557, 绝对角度: 11.6379, 绝对半径差值: 0.0134, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 119 点 - 坐标: [273.9056, -56.9126], 绝对半径: 279.7558, 绝对角度: 11.7380, 绝对半径差值: 0.0135, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 120 点 - 坐标: [273.8058, -57.3910], 绝对半径: 279.7559, 绝对角度: 11.8381, 绝对半径差值: 0.0136, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 121 点 - 坐标: [273.7053, -57.8693], 绝对半径: 279.7560, 绝对角度: 11.9382, 绝对半径差值: 0.0137, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 122 点 - 坐标: [273.6039, -58.3473], 绝对半径: 279.7561, 绝对角度: 12.0383, 绝对半径差值: 0.0138, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 123 点 - 坐标: [273.5016, -58.8252], 绝对半径: 279.7562, 绝对角度: 12.1384, 绝对半径差值: 0.0139, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 124 点 - 坐标: [273.3985, -59.3029], 绝对半径: 279.7563, 绝对角度: 12.2385, 绝对半径差值: 0.0140, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 125 点 - 坐标: [273.2946, -59.7805], 绝对半径: 279.7564, 绝对角度: 12.3385, 绝对半径差值: 0.0141, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 126 点 - 坐标: [273.1899, -60.2578], 绝对半径: 279.7565, 绝对角度: 12.4386, 绝对半径差值: 0.0142, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 127 点 - 坐标: [273.0843, -60.7350], 绝对半径: 279.7566, 绝对角度: 12.5387, 绝对半径差值: 0.0143, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 128 点 - 坐标: [272.9779, -61.2120], 绝对半径: 279.7567, 绝对角度: 12.6388, 绝对半径差值: 0.0145, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 129 点 - 坐标: [272.8706, -61.6888], 绝对半径: 279.7568, 绝对角度: 12.7389, 绝对半径差值: 0.0146, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 130 点 - 坐标: [272.7626, -62.1654], 绝对半径: 279.7569, 绝对角度: 12.8390, 绝对半径差值: 0.0147, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 131 点 - 坐标: [272.6537, -62.6418], 绝对半径: 279.7571, 绝对角度: 12.9391, 绝对半径差值: 0.0148, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 132 点 - 坐标: [272.5439, -63.1180], 绝对半径: 279.7572, 绝对角度: 13.0392, 绝对半径差值: 0.0149, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 133 点 - 坐标: [272.4333, -63.5940], 绝对半径: 279.7573, 绝对角度: 13.1393, 绝对半径差值: 0.0150, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 134 点 - 坐标: [272.3219, -64.0699], 绝对半径: 279.7574, 绝对角度: 13.2393, 绝对半径差值: 0.0151, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 135 点 - 坐标: [272.2097, -64.5455], 绝对半径: 279.7575, 绝对角度: 13.3394, 绝对半径差值: 0.0152, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 136 点 - 坐标: [272.0967, -65.0210], 绝对半径: 279.7576, 绝对角度: 13.4395, 绝对半径差值: 0.0153, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 137 点 - 坐标: [271.9828, -65.4962], 绝对半径: 279.7577, 绝对角度: 13.5396, 绝对半径差值: 0.0154, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 138 点 - 坐标: [271.8680, -65.9713], 绝对半径: 279.7578, 绝对角度: 13.6397, 绝对半径差值: 0.0156, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 139 点 - 坐标: [271.7525, -66.4461], 绝对半径: 279.7579, 绝对角度: 13.7398, 绝对半径差值: 0.0157, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 140 点 - 坐标: [271.6361, -66.9208], 绝对半径: 279.7581, 绝对角度: 13.8399, 绝对半径差值: 0.0158, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 141 点 - 坐标: [271.5189, -67.3952], 绝对半径: 279.7582, 绝对角度: 13.9400, 绝对半径差值: 0.0159, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 142 点 - 坐标: [271.4009, -67.8695], 绝对半径: 279.7583, 绝对角度: 14.0401, 绝对半径差值: 0.0160, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 143 点 - 坐标: [271.2820, -68.3435], 绝对半径: 279.7584, 绝对角度: 14.1402, 绝对半径差值: 0.0161, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 144 点 - 坐标: [271.1623, -68.8173], 绝对半径: 279.7585, 绝对角度: 14.2402, 绝对半径差值: 0.0163, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 145 点 - 坐标: [271.0418, -69.2909], 绝对半径: 279.7587, 绝对角度: 14.3403, 绝对半径差值: 0.0164, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 146 点 - 坐标: [270.9205, -69.7643], 绝对半径: 279.7588, 绝对角度: 14.4404, 绝对半径差值: 0.0165, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 147 点 - 坐标: [270.7983, -70.2375], 绝对半径: 279.7589, 绝对角度: 14.5405, 绝对半径差值: 0.0166, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 148 点 - 坐标: [270.6753, -70.7105], 绝对半径: 279.7590, 绝对角度: 14.6406, 绝对半径差值: 0.0167, 增量半径差值: 0.0001, 增量角度差值: 0.1001
