第 0 点 - 坐标: [237.4695, 0.0000], 绝对半径: 237.4695, 绝对角度: 0.0000, 绝对半径差值: 0.0000, 增量半径差值: 0.0000, 增量角度差值: 0.0000
第 54 点 - 坐标: [236.4686, -21.8835], 绝对半径: 237.4790, 绝对角度: 5.2873, 绝对半径差值: 0.0095, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 55 点 - 坐标: [236.4302, -22.2965], 绝对半径: 237.4792, 绝对角度: 5.3873, 绝对半径差值: 0.0097, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 56 点 - 坐标: [236.3910, -22.7095], 绝对半径: 237.4793, 绝对角度: 5.4874, 绝对半径差值: 0.0098, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 57 点 - 坐标: [236.3510, -23.1224], 绝对半径: 237.4794, 绝对角度: 5.5875, 绝对半径差值: 0.0099, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 58 点 - 坐标: [236.3104, -23.5352], 绝对半径: 237.4795, 绝对角度: 5.6876, 绝对半径差值: 0.0100, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 59 点 - 坐标: [236.2690, -23.9479], 绝对半径: 237.4796, 绝对角度: 5.7877, 绝对半径差值: 0.0101, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 60 点 - 坐标: [236.2269, -24.3606], 绝对半径: 237.4797, 绝对角度: 5.8877, 绝对半径差值: 0.0102, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 61 点 - 坐标: [236.1841, -24.7732], 绝对半径: 237.4798, 绝对角度: 5.9878, 绝对半径差值: 0.0103, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 62 点 - 坐标: [236.1406, -25.1857], 绝对半径: 237.4799, 绝对角度: 6.0879, 绝对半径差值: 0.0104, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 63 点 - 坐标: [236.0963, -25.5981], 绝对半径: 237.4800, 绝对角度: 6.1880, 绝对半径差值: 0.0105, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 64 点 - 坐标: [236.0513, -26.0105], 绝对半径: 237.4800, 绝对角度: 6.2881, 绝对半径差值: 0.0105, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 65 点 - 坐标: [236.0056, -26.4228], 绝对半径: 237.4801, 绝对角度: 6.3881, 绝对半径差值: 0.0106, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 66 点 - 坐标: [235.9592, -26.8350], 绝对半径: 237.4802, 绝对角度: 6.4882, 绝对半径差值: 0.0107, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 67 点 - 坐标: [235.9120, -27.2471], 绝对半径: 237.4803, 绝对角度: 6.5883, 绝对半径差值: 0.0108, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 68 点 - 坐标: [235.8642, -27.6591], 绝对半径: 237.4804, 绝对角度: 6.6884, 绝对半径差值: 0.0109, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 69 点 - 坐标: [235.8156, -28.0711], 绝对半径: 237.4805, 绝对角度: 6.7884, 绝对半径差值: 0.0110, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 70 点 - 坐标: [235.7663, -28.4830], 绝对半径: 237.4806, 绝对角度: 6.8885, 绝对半径差值: 0.0111, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 71 点 - 坐标: [235.7163, -28.8947], 绝对半径: 237.4807, 绝对角度: 6.9886, 绝对半径差值: 0.0112, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 72 点 - 坐标: [235.6655, -29.3064], 绝对半径: 237.4808, 绝对角度: 7.0887, 绝对半径差值: 0.0113, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 73 点 - 坐标: [235.6141, -29.7180], 绝对半径: 237.4808, 绝对角度: 7.1888, 绝对半径差值: 0.0113, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 74 点 - 坐标: [235.5619, -30.1295], 绝对半径: 237.4809, 绝对角度: 7.2888, 绝对半径差值: 0.0114, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 75 点 - 坐标: [235.5090, -30.5410], 绝对半径: 237.4810, 绝对角度: 7.3889, 绝对半径差值: 0.0115, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 76 点 - 坐标: [235.4554, -30.9523], 绝对半径: 237.4811, 绝对角度: 7.4890, 绝对半径差值: 0.0116, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 77 点 - 坐标: [235.4011, -31.3635], 绝对半径: 237.4812, 绝对角度: 7.5891, 绝对半径差值: 0.0117, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 78 点 - 坐标: [235.3460, -31.7747], 绝对半径: 237.4813, 绝对角度: 7.6892, 绝对半径差值: 0.0118, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 79 点 - 坐标: [235.2902, -32.1857], 绝对半径: 237.4814, 绝对角度: 7.7892, 绝对半径差值: 0.0119, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 80 点 - 坐标: [235.2338, -32.5966], 绝对半径: 237.4815, 绝对角度: 7.8893, 绝对半径差值: 0.0120, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 81 点 - 坐标: [235.1766, -33.0075], 绝对半径: 237.4816, 绝对角度: 7.9894, 绝对半径差值: 0.0121, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 82 点 - 坐标: [235.1186, -33.4182], 绝对半径: 237.4817, 绝对角度: 8.0895, 绝对半径差值: 0.0122, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 83 点 - 坐标: [235.0600, -33.8289], 绝对半径: 237.4818, 绝对角度: 8.1895, 绝对半径差值: 0.0123, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 84 点 - 坐标: [235.0007, -34.2394], 绝对半径: 237.4819, 绝对角度: 8.2896, 绝对半径差值: 0.0124, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 85 点 - 坐标: [234.9406, -34.6499], 绝对半径: 237.4820, 绝对角度: 8.3897, 绝对半径差值: 0.0125, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 86 点 - 坐标: [234.8798, -35.0602], 绝对半径: 237.4821, 绝对角度: 8.4898, 绝对半径差值: 0.0126, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 87 点 - 坐标: [234.8183, -35.4704], 绝对半径: 237.4822, 绝对角度: 8.5899, 绝对半径差值: 0.0127, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 88 点 - 坐标: [234.7561, -35.8805], 绝对半径: 237.4823, 绝对角度: 8.6899, 绝对半径差值: 0.0128, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 89 点 - 坐标: [234.6931, -36.2905], 绝对半径: 237.4824, 绝对角度: 8.7900, 绝对半径差值: 0.0129, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 90 点 - 坐标: [234.6295, -36.7004], 绝对半径: 237.4825, 绝对角度: 8.8901, 绝对半径差值: 0.0130, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 91 点 - 坐标: [234.5651, -37.1102], 绝对半径: 237.4826, 绝对角度: 8.9902, 绝对半径差值: 0.0131, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 92 点 - 坐标: [234.5000, -37.5199], 绝对半径: 237.4827, 绝对角度: 9.0902, 绝对半径差值: 0.0132, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 93 点 - 坐标: [234.4343, -37.9294], 绝对半径: 237.4828, 绝对角度: 9.1903, 绝对半径差值: 0.0133, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 94 点 - 坐标: [234.3677, -38.3389], 绝对半径: 237.4829, 绝对角度: 9.2904, 绝对半径差值: 0.0134, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 95 点 - 坐标: [234.3005, -38.7482], 绝对半径: 237.4829, 绝对角度: 9.3905, 绝对半径差值: 0.0134, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 96 点 - 坐标: [234.2326, -39.1574], 绝对半径: 237.4830, 绝对角度: 9.4906, 绝对半径差值: 0.0135, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 97 点 - 坐标: [234.1639, -39.5665], 绝对半径: 237.4831, 绝对角度: 9.5906, 绝对半径差值: 0.0136, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 98 点 - 坐标: [234.0945, -39.9754], 绝对半径: 237.4832, 绝对角度: 9.6907, 绝对半径差值: 0.0137, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 99 点 - 坐标: [234.0244, -40.3843], 绝对半径: 237.4833, 绝对角度: 9.7908, 绝对半径差值: 0.0138, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 100 点 - 坐标: [233.9536, -40.7930], 绝对半径: 237.4834, 绝对角度: 9.8909, 绝对半径差值: 0.0139, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 101 点 - 坐标: [233.8821, -41.2016], 绝对半径: 237.4835, 绝对角度: 9.9909, 绝对半径差值: 0.0140, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 102 点 - 坐标: [233.8099, -41.6101], 绝对半径: 237.4836, 绝对角度: 10.0910, 绝对半径差值: 0.0141, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 103 点 - 坐标: [233.7370, -42.0184], 绝对半径: 237.4837, 绝对角度: 10.1911, 绝对半径差值: 0.0142, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 104 点 - 坐标: [233.6633, -42.4266], 绝对半径: 237.4838, 绝对角度: 10.2912, 绝对半径差值: 0.0143, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 105 点 - 坐标: [233.5889, -42.8347], 绝对半径: 237.4839, 绝对角度: 10.3913, 绝对半径差值: 0.0144, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 106 点 - 坐标: [233.5138, -43.2427], 绝对半径: 237.4840, 绝对角度: 10.4913, 绝对半径差值: 0.0145, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 107 点 - 坐标: [233.4381, -43.6505], 绝对半径: 237.4841, 绝对角度: 10.5914, 绝对半径差值: 0.0146, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 108 点 - 坐标: [233.3615, -44.0582], 绝对半径: 237.4842, 绝对角度: 10.6915, 绝对半径差值: 0.0147, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 109 点 - 坐标: [233.2843, -44.4657], 绝对半径: 237.4843, 绝对角度: 10.7916, 绝对半径差值: 0.0148, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 110 点 - 坐标: [233.2064, -44.8732], 绝对半径: 237.4844, 绝对角度: 10.8916, 绝对半径差值: 0.0149, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 111 点 - 坐标: [233.1278, -45.2805], 绝对半径: 237.4845, 绝对角度: 10.9917, 绝对半径差值: 0.0150, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 112 点 - 坐标: [233.0484, -45.6876], 绝对半径: 237.4846, 绝对角度: 11.0918, 绝对半径差值: 0.0151, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 113 点 - 坐标: [232.9683, -46.0946], 绝对半径: 237.4847, 绝对角度: 11.1919, 绝对半径差值: 0.0152, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 114 点 - 坐标: [232.8876, -46.5015], 绝对半径: 237.4847, 绝对角度: 11.2919, 绝对半径差值: 0.0152, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 115 点 - 坐标: [232.8061, -46.9082], 绝对半径: 237.4848, 绝对角度: 11.3920, 绝对半径差值: 0.0153, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 116 点 - 坐标: [232.7239, -47.3148], 绝对半径: 237.4849, 绝对角度: 11.4921, 绝对半径差值: 0.0154, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 117 点 - 坐标: [232.6410, -47.7212], 绝对半径: 237.4850, 绝对角度: 11.5922, 绝对半径差值: 0.0155, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 118 点 - 坐标: [232.5574, -48.1275], 绝对半径: 237.4851, 绝对角度: 11.6923, 绝对半径差值: 0.0156, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 119 点 - 坐标: [232.4730, -48.5337], 绝对半径: 237.4852, 绝对角度: 11.7923, 绝对半径差值: 0.0157, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 120 点 - 坐标: [232.3880, -48.9397], 绝对半径: 237.4853, 绝对角度: 11.8924, 绝对半径差值: 0.0158, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 121 点 - 坐标: [232.3023, -49.3455], 绝对半径: 237.4854, 绝对角度: 11.9925, 绝对半径差值: 0.0159, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 122 点 - 坐标: [232.2158, -49.7512], 绝对半径: 237.4855, 绝对角度: 12.0926, 绝对半径差值: 0.0160, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 123 点 - 坐标: [232.1287, -50.1568], 绝对半径: 237.4856, 绝对角度: 12.1926, 绝对半径差值: 0.0161, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 124 点 - 坐标: [232.0408, -50.5621], 绝对半径: 237.4857, 绝对角度: 12.2927, 绝对半径差值: 0.0162, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 125 点 - 坐标: [231.9522, -50.9674], 绝对半径: 237.4858, 绝对角度: 12.3928, 绝对半径差值: 0.0163, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 126 点 - 坐标: [231.8629, -51.3725], 绝对半径: 237.4859, 绝对角度: 12.4929, 绝对半径差值: 0.0164, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 127 点 - 坐标: [231.7729, -51.7774], 绝对半径: 237.4860, 绝对角度: 12.5929, 绝对半径差值: 0.0165, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 128 点 - 坐标: [231.6822, -52.1822], 绝对半径: 237.4861, 绝对角度: 12.6930, 绝对半径差值: 0.0166, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 129 点 - 坐标: [231.5908, -52.5868], 绝对半径: 237.4862, 绝对角度: 12.7931, 绝对半径差值: 0.0167, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 130 点 - 坐标: [231.4987, -52.9912], 绝对半径: 237.4863, 绝对角度: 12.8932, 绝对半径差值: 0.0168, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 131 点 - 坐标: [231.4059, -53.3955], 绝对半径: 237.4864, 绝对角度: 12.9932, 绝对半径差值: 0.0169, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 132 点 - 坐标: [231.3124, -53.7996], 绝对半径: 237.4865, 绝对角度: 13.0933, 绝对半径差值: 0.0170, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 133 点 - 坐标: [231.2182, -54.2036], 绝对半径: 237.4866, 绝对角度: 13.1934, 绝对半径差值: 0.0171, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 134 点 - 坐标: [231.1232, -54.6074], 绝对半径: 237.4867, 绝对角度: 13.2935, 绝对半径差值: 0.0172, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 135 点 - 坐标: [231.0276, -55.0110], 绝对半径: 237.4867, 绝对角度: 13.3935, 绝对半径差值: 0.0172, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 136 点 - 坐标: [230.9312, -55.4145], 绝对半径: 237.4868, 绝对角度: 13.4936, 绝对半径差值: 0.0173, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 137 点 - 坐标: [230.8342, -55.8178], 绝对半径: 237.4869, 绝对角度: 13.5937, 绝对半径差值: 0.0174, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 138 点 - 坐标: [230.7364, -56.2209], 绝对半径: 237.4870, 绝对角度: 13.6938, 绝对半径差值: 0.0175, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 139 点 - 坐标: [230.6380, -56.6239], 绝对半径: 237.4871, 绝对角度: 13.7939, 绝对半径差值: 0.0176, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 140 点 - 坐标: [230.5388, -57.0267], 绝对半径: 237.4872, 绝对角度: 13.8939, 绝对半径差值: 0.0177, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 141 点 - 坐标: [230.4389, -57.4293], 绝对半径: 237.4873, 绝对角度: 13.9940, 绝对半径差值: 0.0178, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 142 点 - 坐标: [230.3384, -57.8317], 绝对半径: 237.4874, 绝对角度: 14.0941, 绝对半径差值: 0.0179, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 143 点 - 坐标: [230.2371, -58.2340], 绝对半径: 237.4875, 绝对角度: 14.1942, 绝对半径差值: 0.0180, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 144 点 - 坐标: [230.1351, -58.6360], 绝对半径: 237.4876, 绝对角度: 14.2942, 绝对半径差值: 0.0181, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 145 点 - 坐标: [230.0325, -59.0379], 绝对半径: 237.4877, 绝对角度: 14.3943, 绝对半径差值: 0.0182, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 146 点 - 坐标: [229.9291, -59.4396], 绝对半径: 237.4878, 绝对角度: 14.4944, 绝对半径差值: 0.0183, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 147 点 - 坐标: [229.8250, -59.8412], 绝对半径: 237.4879, 绝对角度: 14.5945, 绝对半径差值: 0.0184, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 148 点 - 坐标: [229.7202, -60.2425], 绝对半径: 237.4880, 绝对角度: 14.6945, 绝对半径差值: 0.0185, 增量半径差值: 0.0001, 增量角度差值: 0.1001
