第 0 点 - 坐标: [237.6453, 0.0000], 绝对半径: 237.6453, 绝对角度: 0.0000, 绝对半径差值: 0.0000, 增量半径差值: 0.0000, 增量角度差值: 0.0000
第 55 点 - 坐标: [236.6195, -22.1210], 绝对半径: 237.6512, 绝对角度: 5.3409, 绝对半径差值: 0.0059, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 56 点 - 坐标: [236.5805, -22.5343], 绝对半径: 237.6513, 绝对角度: 5.4410, 绝对半径差值: 0.0060, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 57 点 - 坐标: [236.5409, -22.9476], 绝对半径: 237.6514, 绝对角度: 5.5411, 绝对半径差值: 0.0061, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 58 点 - 坐标: [236.5005, -23.3608], 绝对半径: 237.6514, 绝对角度: 5.6412, 绝对半径差值: 0.0061, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 59 点 - 坐标: [236.4594, -23.7740], 绝对半径: 237.6515, 绝对角度: 5.7413, 绝对半径差值: 0.0062, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 60 点 - 坐标: [236.4175, -24.1870], 绝对半径: 237.6515, 绝对角度: 5.8414, 绝对半径差值: 0.0062, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 61 点 - 坐标: [236.3749, -24.6000], 绝对半径: 237.6516, 绝对角度: 5.9415, 绝对半径差值: 0.0063, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 62 点 - 坐标: [236.3317, -25.0130], 绝对半径: 237.6516, 绝对角度: 6.0416, 绝对半径差值: 0.0064, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 63 点 - 坐标: [236.2877, -25.4258], 绝对半径: 237.6517, 绝对角度: 6.1417, 绝对半径差值: 0.0064, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 64 点 - 坐标: [236.2429, -25.8386], 绝对半径: 237.6517, 绝对角度: 6.2418, 绝对半径差值: 0.0065, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 65 点 - 坐标: [236.1975, -26.2513], 绝对半径: 237.6518, 绝对角度: 6.3419, 绝对半径差值: 0.0065, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 66 点 - 坐标: [236.1513, -26.6639], 绝对半径: 237.6518, 绝对角度: 6.4420, 绝对半径差值: 0.0065, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 67 点 - 坐标: [236.1044, -27.0764], 绝对半径: 237.6519, 绝对角度: 6.5421, 绝对半径差值: 0.0066, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 68 点 - 坐标: [236.0568, -27.4889], 绝对半径: 237.6519, 绝对角度: 6.6422, 绝对半径差值: 0.0066, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 69 点 - 坐标: [236.0084, -27.9012], 绝对半径: 237.6520, 绝对角度: 6.7423, 绝对半径差值: 0.0067, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 70 点 - 坐标: [235.9594, -28.3135], 绝对半径: 237.6520, 绝对角度: 6.8424, 绝对半径差值: 0.0067, 增量半径差值: 0.0000, 增量角度差值: 0.1001
第 71 点 - 坐标: [235.9096, -28.7257], 绝对半径: 237.6521, 绝对角度: 6.9425, 绝对半径差值: 0.0068, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 72 点 - 坐标: [235.8591, -29.1378], 绝对半径: 237.6521, 绝对角度: 7.0426, 绝对半径差值: 0.0068, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 73 点 - 坐标: [235.8079, -29.5498], 绝对半径: 237.6522, 绝对角度: 7.1427, 绝对半径差值: 0.0069, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 74 点 - 坐标: [235.7560, -29.9618], 绝对半径: 237.6522, 绝对角度: 7.2428, 绝对半径差值: 0.0070, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 75 点 - 坐标: [235.7033, -30.3736], 绝对半径: 237.6523, 绝对角度: 7.3429, 绝对半径差值: 0.0070, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 76 点 - 坐标: [235.6500, -30.7853], 绝对半径: 237.6524, 绝对角度: 7.4430, 绝对半径差值: 0.0071, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 77 点 - 坐标: [235.5959, -31.1970], 绝对半径: 237.6524, 绝对角度: 7.5431, 绝对半径差值: 0.0071, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 78 点 - 坐标: [235.5411, -31.6085], 绝对半径: 237.6525, 绝对角度: 7.6432, 绝对半径差值: 0.0072, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 79 点 - 坐标: [235.4856, -32.0200], 绝对半径: 237.6525, 绝对角度: 7.7433, 绝对半径差值: 0.0073, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 80 点 - 坐标: [235.4293, -32.4314], 绝对半径: 237.6526, 绝对角度: 7.8434, 绝对半径差值: 0.0073, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 81 点 - 坐标: [235.3724, -32.8426], 绝对半径: 237.6527, 绝对角度: 7.9435, 绝对半径差值: 0.0074, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 82 点 - 坐标: [235.3147, -33.2538], 绝对半径: 237.6527, 绝对角度: 8.0436, 绝对半径差值: 0.0075, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 83 点 - 坐标: [235.2563, -33.6648], 绝对半径: 237.6528, 绝对角度: 8.1437, 绝对半径差值: 0.0075, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 84 点 - 坐标: [235.1972, -34.0758], 绝对半径: 237.6529, 绝对角度: 8.2438, 绝对半径差值: 0.0076, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 85 点 - 坐标: [235.1374, -34.4867], 绝对半径: 237.6530, 绝对角度: 8.3439, 绝对半径差值: 0.0077, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 86 点 - 坐标: [235.0769, -34.8974], 绝对半径: 237.6530, 绝对角度: 8.4440, 绝对半径差值: 0.0077, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 87 点 - 坐标: [235.0156, -35.3081], 绝对半径: 237.6531, 绝对角度: 8.5440, 绝对半径差值: 0.0078, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 88 点 - 坐标: [234.9536, -35.7186], 绝对半径: 237.6532, 绝对角度: 8.6441, 绝对半径差值: 0.0079, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 89 点 - 坐标: [234.8910, -36.1290], 绝对半径: 237.6533, 绝对角度: 8.7442, 绝对半径差值: 0.0080, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 90 点 - 坐标: [234.8276, -36.5393], 绝对半径: 237.6533, 绝对角度: 8.8443, 绝对半径差值: 0.0080, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 91 点 - 坐标: [234.7634, -36.9495], 绝对半径: 237.6534, 绝对角度: 8.9444, 绝对半径差值: 0.0081, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 92 点 - 坐标: [234.6986, -37.3596], 绝对半径: 237.6535, 绝对角度: 9.0445, 绝对半径差值: 0.0082, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 93 点 - 坐标: [234.6331, -37.7696], 绝对半径: 237.6536, 绝对角度: 9.1446, 绝对半径差值: 0.0083, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 94 点 - 坐标: [234.5668, -38.1795], 绝对半径: 237.6536, 绝对角度: 9.2447, 绝对半径差值: 0.0083, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 95 点 - 坐标: [234.4998, -38.5892], 绝对半径: 237.6537, 绝对角度: 9.3448, 绝对半径差值: 0.0084, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 96 点 - 坐标: [234.4321, -38.9989], 绝对半径: 237.6538, 绝对角度: 9.4449, 绝对半径差值: 0.0085, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 97 点 - 坐标: [234.3637, -39.4084], 绝对半径: 237.6539, 绝对角度: 9.5450, 绝对半径差值: 0.0086, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 98 点 - 坐标: [234.2946, -39.8178], 绝对半径: 237.6540, 绝对角度: 9.6451, 绝对半径差值: 0.0087, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 99 点 - 坐标: [234.2247, -40.2270], 绝对半径: 237.6540, 绝对角度: 9.7452, 绝对半径差值: 0.0087, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 100 点 - 坐标: [234.1542, -40.6362], 绝对半径: 237.6541, 绝对角度: 9.8453, 绝对半径差值: 0.0088, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 101 点 - 坐标: [234.0829, -41.0452], 绝对半径: 237.6542, 绝对角度: 9.9454, 绝对半径差值: 0.0089, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 102 点 - 坐标: [234.0109, -41.4541], 绝对半径: 237.6543, 绝对角度: 10.0455, 绝对半径差值: 0.0090, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 103 点 - 坐标: [233.9382, -41.8629], 绝对半径: 237.6544, 绝对角度: 10.1456, 绝对半径差值: 0.0091, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 104 点 - 坐标: [233.8648, -42.2715], 绝对半径: 237.6545, 绝对角度: 10.2457, 绝对半径差值: 0.0092, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 105 点 - 坐标: [233.7907, -42.6800], 绝对半径: 237.6545, 绝对角度: 10.3458, 绝对半径差值: 0.0092, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 106 点 - 坐标: [233.7159, -43.0884], 绝对半径: 237.6546, 绝对角度: 10.4459, 绝对半径差值: 0.0093, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 107 点 - 坐标: [233.6403, -43.4967], 绝对半径: 237.6547, 绝对角度: 10.5460, 绝对半径差值: 0.0094, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 108 点 - 坐标: [233.5641, -43.9048], 绝对半径: 237.6548, 绝对角度: 10.6461, 绝对半径差值: 0.0095, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 109 点 - 坐标: [233.4871, -44.3128], 绝对半径: 237.6549, 绝对角度: 10.7462, 绝对半径差值: 0.0096, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 110 点 - 坐标: [233.4094, -44.7207], 绝对半径: 237.6550, 绝对角度: 10.8463, 绝对半径差值: 0.0097, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 111 点 - 坐标: [233.3310, -45.1284], 绝对半径: 237.6551, 绝对角度: 10.9464, 绝对半径差值: 0.0098, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 112 点 - 坐标: [233.2519, -45.5360], 绝对半径: 237.6552, 绝对角度: 11.0465, 绝对半径差值: 0.0099, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 113 点 - 坐标: [233.1721, -45.9434], 绝对半径: 237.6553, 绝对角度: 11.1466, 绝对半径差值: 0.0100, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 114 点 - 坐标: [233.0916, -46.3507], 绝对半径: 237.6554, 绝对角度: 11.2467, 绝对半径差值: 0.0101, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 115 点 - 坐标: [233.0103, -46.7579], 绝对半径: 237.6554, 绝对角度: 11.3468, 绝对半径差值: 0.0102, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 116 点 - 坐标: [232.9284, -47.1649], 绝对半径: 237.6555, 绝对角度: 11.4469, 绝对半径差值: 0.0103, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 117 点 - 坐标: [232.8457, -47.5718], 绝对半径: 237.6556, 绝对角度: 11.5470, 绝对半径差值: 0.0104, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 118 点 - 坐标: [232.7624, -47.9785], 绝对半径: 237.6557, 绝对角度: 11.6471, 绝对半径差值: 0.0104, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 119 点 - 坐标: [232.6783, -48.3851], 绝对半径: 237.6558, 绝对角度: 11.7471, 绝对半径差值: 0.0105, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 120 点 - 坐标: [232.5935, -48.7915], 绝对半径: 237.6559, 绝对角度: 11.8472, 绝对半径差值: 0.0106, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 121 点 - 坐标: [232.5080, -49.1978], 绝对半径: 237.6560, 绝对角度: 11.9473, 绝对半径差值: 0.0107, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 122 点 - 坐标: [232.4218, -49.6039], 绝对半径: 237.6561, 绝对角度: 12.0474, 绝对半径差值: 0.0108, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 123 点 - 坐标: [232.3349, -50.0099], 绝对半径: 237.6562, 绝对角度: 12.1475, 绝对半径差值: 0.0109, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 124 点 - 坐标: [232.2473, -50.4158], 绝对半径: 237.6563, 绝对角度: 12.2476, 绝对半径差值: 0.0111, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 125 点 - 坐标: [232.1589, -50.8214], 绝对半径: 237.6564, 绝对角度: 12.3477, 绝对半径差值: 0.0112, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 126 点 - 坐标: [232.0699, -51.2270], 绝对半径: 237.6566, 绝对角度: 12.4478, 绝对半径差值: 0.0113, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 127 点 - 坐标: [231.9801, -51.6323], 绝对半径: 237.6567, 绝对角度: 12.5479, 绝对半径差值: 0.0114, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 128 点 - 坐标: [231.8897, -52.0376], 绝对半径: 237.6568, 绝对角度: 12.6480, 绝对半径差值: 0.0115, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 129 点 - 坐标: [231.7985, -52.4426], 绝对半径: 237.6569, 绝对角度: 12.7481, 绝对半径差值: 0.0116, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 130 点 - 坐标: [231.7067, -52.8475], 绝对半径: 237.6570, 绝对角度: 12.8482, 绝对半径差值: 0.0117, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 131 点 - 坐标: [231.6141, -53.2522], 绝对半径: 237.6571, 绝对角度: 12.9483, 绝对半径差值: 0.0118, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 132 点 - 坐标: [231.5208, -53.6568], 绝对半径: 237.6572, 绝对角度: 13.0484, 绝对半径差值: 0.0119, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 133 点 - 坐标: [231.4268, -54.0612], 绝对半径: 237.6573, 绝对角度: 13.1485, 绝对半径差值: 0.0120, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 134 点 - 坐标: [231.3321, -54.4655], 绝对半径: 237.6574, 绝对角度: 13.2486, 绝对半径差值: 0.0121, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 135 点 - 坐标: [231.2367, -54.8696], 绝对半径: 237.6575, 绝对角度: 13.3487, 绝对半径差值: 0.0122, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 136 点 - 坐标: [231.1406, -55.2735], 绝对半径: 237.6576, 绝对角度: 13.4488, 绝对半径差值: 0.0123, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 137 点 - 坐标: [231.0438, -55.6772], 绝对半径: 237.6578, 绝对角度: 13.5489, 绝对半径差值: 0.0125, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 138 点 - 坐标: [230.9463, -56.0808], 绝对半径: 237.6579, 绝对角度: 13.6490, 绝对半径差值: 0.0126, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 139 点 - 坐标: [230.8481, -56.4842], 绝对半径: 237.6580, 绝对角度: 13.7491, 绝对半径差值: 0.0127, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 140 点 - 坐标: [230.7492, -56.8874], 绝对半径: 237.6581, 绝对角度: 13.8492, 绝对半径差值: 0.0128, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 141 点 - 坐标: [230.6496, -57.2905], 绝对半径: 237.6582, 绝对角度: 13.9493, 绝对半径差值: 0.0129, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 142 点 - 坐标: [230.5493, -57.6934], 绝对半径: 237.6583, 绝对角度: 14.0494, 绝对半径差值: 0.0130, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 143 点 - 坐标: [230.4482, -58.0961], 绝对半径: 237.6585, 绝对角度: 14.1494, 绝对半径差值: 0.0132, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 144 点 - 坐标: [230.3465, -58.4986], 绝对半径: 237.6586, 绝对角度: 14.2495, 绝对半径差值: 0.0133, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 145 点 - 坐标: [230.2441, -58.9010], 绝对半径: 237.6587, 绝对角度: 14.3496, 绝对半径差值: 0.0134, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 146 点 - 坐标: [230.1409, -59.3031], 绝对半径: 237.6588, 绝对角度: 14.4497, 绝对半径差值: 0.0135, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 147 点 - 坐标: [230.0371, -59.7051], 绝对半径: 237.6589, 绝对角度: 14.5498, 绝对半径差值: 0.0136, 增量半径差值: 0.0001, 增量角度差值: 0.1001
第 148 点 - 坐标: [229.9326, -60.1069], 绝对半径: 237.6591, 绝对角度: 14.6499, 绝对半径差值: 0.0138, 增量半径差值: 0.0001, 增量角度差值: 0.1001
